method,name,period,distance
Transit,Kepler-1542 e,5.10115756,336
Transit,Kepler-1542 d,5.99273738,336
Transit,Kepler-1542 c,2.89223021,336
Transit,Kepler-1542 b,3.95116882,336
Transit,Kepler-1541 b,8.40691199,414
Transit,Kepler-1540 b,125.4131177,262
Transit,Kepler-1539 b,133.3036741,788
Transit,Kepler-1538 b,175.138819,1291
Transit,Kepler-1537 b,1.4444538,503
Transit,Kepler-1536 b,364.758031,401
Transit,Kepler-1535 b,138.9442,879
Transit,Kepler-1534 b,5.71668872,1107
Transit,Kepler-1533 b,308.5471,852
Transit,Kepler-1532 b,1.09366356,824
Transit,Kepler-1531 b,1.13854338,670
Transit,Kepler-1530 c,5.3227406,552
Transit,Kepler-1530 b,2.5904434,552
Transit,Kepler-1529 b,5.33905686,683
Transit,Kepler-1528 b,1.79111021,916
Transit,Kepler-1527 b,160.129918,1560
Transit,Kepler-1526 b,3.908632,576
Transit,Kepler-1525 b,2.41660118,396
Transit,Kepler-1524 b,70.9674603,506
Transit,Kepler-1523 b,0.93875077,918
Transit,Kepler-1522 b,1.84788917,690
Transit,Kepler-1521 b,47.14840805,227
Transit,Kepler-1520 b,0.65355357,636
Transit,Kepler-1519 b,240.7989397,858
Transit,Kepler-1518 b,5.11177904,1140
Transit,Kepler-1517 b,5.54608367,869
Transit,Kepler-1516 b,7.25931979,872
Transit,Kepler-1515 b,214.3114164,504
Transit,Kepler-1514 b,217.8317626,379
Transit,Kepler-1513 b,160.8846509,384
Transit,Kepler-1512 b,20.35972599,162
Transit,Kepler-1511 b,23.2382792,897
Transit,Kepler-1510 b,84.703921,1615
Transit,Kepler-1509 b,25.4338197,1277
Transit,Kepler-1508 b,20.7056504,892
Transit,Kepler-1507 b,16.0506213,342
Transit,Kepler-1506 b,14.0329154,1318
Transit,Kepler-1505 b,30.8609366,359
Transit,Kepler-1504 b,82.304003,1029
Transit,Kepler-1503 b,96.16987,850
Transit,Kepler-1502 b,41.7083629,1540
Transit,Kepler-1501 b,14.5564533,888
Transit,Kepler-1500 b,15.0330105,904
Transit,Kepler-1499 b,44.2008,310
Transit,Kepler-1498 b,48.051405,740
Transit,Kepler-1497 b,8.74199772,1122
Transit,Kepler-1496 b,64.6588017,1293
Transit,Kepler-1495 b,85.273256,1307
Transit,Kepler-1494 b,91.080482,1059
Transit,Kepler-1493 b,15.0217983,572
Transit,Kepler-1492 b,16.75255007,371
Transit,Kepler-1491 b,16.5861762,1312
Transit,Kepler-1490 b,92.4362973,968
Transit,Kepler-1489 b,82.294751,870
Transit,Kepler-1488 b,39.8189932,618
Transit,Kepler-1487 b,7.31946363,1094
Transit,Kepler-1486 b,54.6495759,1465
Transit,Kepler-1485 b,19.9157725,550
Transit,Kepler-1484 b,30.4549136,1095
Transit,Kepler-1483 b,9.5085156,1327
Transit,Kepler-1482 b,12.25383217,442
Transit,Kepler-1481 b,5.94220998,493
Transit,Kepler-1480 b,22.12679948,540
Transit,Kepler-1479 b,14.53261362,619
Transit,Kepler-1478 b,26.0840594,1405
Transit,Kepler-1477 b,11.55530021,525
Transit,Kepler-1476 b,10.35863224,1218
Transit,Kepler-1475 b,82.177374,1714
Transit,Kepler-1474 b,36.4333452,1214
Transit,Kepler-1473 b,14.4273551,625
Transit,Kepler-1472 b,38.1312831,1269
Transit,Kepler-1471 b,3.63899398,1059
Transit,Kepler-1470 b,16.2950903,569
Transit,Kepler-1469 b,21.8635301,1255
Transit,Kepler-1468 c,3.54553021,1130
Transit,Kepler-1468 b,8.23984869,1130
Transit,Kepler-1467 b,47.0569043,890
Transit,Kepler-1466 b,31.1750448,686
Transit,Kepler-1465 b,31.8277111,350
Transit,Kepler-1464 c,5.32786292,692
Transit,Kepler-1464 b,31.7785901,692
Transit,Kepler-1463 b,25.15864,1341
Transit,Kepler-1462 b,65.6488341,1368
Transit,Kepler-1461 b,29.3494775,752
Transit,Kepler-1460 b,29.9633247,574
Transit,Kepler-1459 b,62.8691611,435
Transit,Kepler-1458 b,47.9872764,642
Transit,Kepler-1457 b,51.1110243,728
Transit,Kepler-1456 b,18.1373829,379
Transit,Kepler-1455 b,49.276764,392
Transit,Kepler-1454 b,47.0319479,795
Transit,Kepler-1453 b,47.1611696,1284
Transit,Kepler-1452 b,42.913751,974
Transit,Kepler-1451 b,35.622233,1159
Transit,Kepler-1450 b,54.5094166,490
Transit,Kepler-1449 b,13.2274528,1321
Transit,Kepler-1448 b,12.27065865,786
Transit,Kepler-1447 b,56.6747285,871
Transit,Kepler-1446 b,0.68996783,162
Transit,Kepler-1445 b,10.60052251,482
Transit,Kepler-1444 b,33.42035034,340
Transit,Kepler-1443 b,2.41811321,475
Transit,Kepler-1442 b,81.4162941,525
Transit,Kepler-1441 b,39.4419839,751
Transit,Kepler-1440 b,39.859484,685
Transit,Kepler-1439 b,8.07392849,215
Transit,Kepler-1438 b,2.31942009,866
Transit,Kepler-1437 b,10.9295461,1182
Transit,Kepler-1436 b,9.705716,1142
