method,method_index,name,period,distance
Radial Velocity,7,HD 11964 b,1,945,34
Radial Velocity,7,HD 11964 c,38,34
Radial Velocity,7,HD 11977 b,711,66
Radial Velocity,7,HD 12484 b,59,51
Radial Velocity,7,HD 12648 b,134,158
Radial Velocity,7,HD 12661 b,263,37
Radial Velocity,7,HD 12661 c,1,708,37
Radial Velocity,7,HD 13189 b,472,300
Radial Velocity,7,HD 13908 b,19,67
Radial Velocity,7,HD 13908 c,931,67
Radial Velocity,7,HD 13931 b,4,218,46
Radial Velocity,7,HD 14067 b,1,455,163
Radial Velocity,7,HD 16141 b,76,36
Radial Velocity,7,HD 16175 b,990,60
Radial Velocity,7,HD 16417 b,17,26
Radial Velocity,7,HD 17092 b,360,225
Radial Velocity,7,HD 17156 b,21,75
Radial Velocity,7,HD 17674 b,624,45
Radial Velocity,7,HD 18742 b,772,128
Radial Velocity,7,HD 19994 b,466,22
Radial Velocity,7,HD 20782 b,592,36
Radial Velocity,7,HD 20794 b,18,6
Radial Velocity,7,HD 20794 c,40,6
Radial Velocity,7,HD 20794 d,90,6
Radial Velocity,7,HD 20794 e,147,6
Radial Velocity,7,HD 20868 b,381,49
Radial Velocity,7,HD 22781 b,528,32
Radial Velocity,7,HD 23079 b,731,35
Radial Velocity,7,HD 23127 b,1,214,89
Radial Velocity,7,HD 23596 b,1,561,52
Radial Velocity,7,HD 24040 b,3,668,47
Radial Velocity,7,HD 24064 b,536,264
Radial Velocity,7,HD 25171 b,1,845,56
Radial Velocity,7,HD 27442 b,428,18
Radial Velocity,7,HD 27631 b,2,208,45
Radial Velocity,7,HD 27894 b,18,42
Radial Velocity,7,HD 27894 c,36,42
Radial Velocity,7,HD 27894 d,5,174,42
Radial Velocity,7,HD 28185 b,379,40
Radial Velocity,7,HD 28254 b,1,116,55
Radial Velocity,7,HD 28678 b,387,169
Radial Velocity,7,HD 29021 b,1,362,31
Radial Velocity,7,HD 30177 b,2,770,55
Radial Velocity,7,HD 30177 c,11,613,55
Radial Velocity,7,HD 30562 b,1,157,27
Radial Velocity,7,HD 30669 b,1,684,57
Radial Velocity,7,HD 30856 b,912,121
Radial Velocity,7,HD 31253 b,466,54
Radial Velocity,7,HD 32518 b,158,117
Radial Velocity,7,HD 32963 b,2,372,35
Radial Velocity,7,HD 33142 b,327,137
Radial Velocity,7,HD 33283 b,18,87
Radial Velocity,7,HD 33564 b,388,21
Radial Velocity,7,HD 33844 b,551,101
Radial Velocity,7,HD 33844 c,916,101
Radial Velocity,7,HD 34445 b,1,049,45
Radial Velocity,7,HD 34445 c,215,45
Radial Velocity,7,HD 34445 d,118,45
Radial Velocity,7,HD 34445 e,49,45
Radial Velocity,7,HD 34445 f,677,45
Radial Velocity,7,HD 34445 g,5,700,45
Radial Velocity,7,HD 35759 b,82,73
Radial Velocity,7,HD 37124 b,154,33
Radial Velocity,7,HD 37124 c,886,33
Radial Velocity,7,HD 37124 d,1,862,33
Radial Velocity,7,HD 37605 b,55,43
Radial Velocity,7,HD 37605 c,2,720,43
Radial Velocity,7,HD 38283 b,363,38
Radial Velocity,7,HD 38529 b,14,42
Radial Velocity,7,HD 38529 c,2,140,42
Radial Velocity,7,HD 38801 b,696,99
Radial Velocity,7,HD 39091 b,2,151,18
Radial Velocity,7,HD 40307 b,4,13
Radial Velocity,7,HD 40307 c,10,13
Radial Velocity,7,HD 40307 d,20,13
Radial Velocity,7,HD 40307 f,52,13
Radial Velocity,7,HD 40307 g,198,13
